actor_id,first_name,last_name,film_id,title
5,JOHNNY,LOLLOBRIGIDA,19,"AMADEUS HOLY"
5,JOHNNY,LOLLOBRIGIDA,54,"BANGER PINOCCHIO"
5,JOHNNY,LOLLOBRIGIDA,85,"BONNIE HOLOCAUST"
5,JOHNNY,LOLLOBRIGIDA,146,"CHITTY LOCK"
5,JOHNNY,LOLLOBRIGIDA,171,"COMMANDMENTS EXPRESS"
5,JOHNNY,LOLLOBRIGIDA,172,"CONEHEADS SMOOCHY"
5,JOHNNY,LOLLOBRIGIDA,202,"DADDY PITTSBURGH"
5,JOHNNY,LOLLOBRIGIDA,203,"DAISY MENAGERIE"
5,JOHNNY,LOLLOBRIGIDA,286,"ENOUGH RAGING"
5,JOHNNY,LOLLOBRIGIDA,288,"ESCAPE METROPOLIS"
5,JOHNNY,LOLLOBRIGIDA,316,"FIRE WOLVES"
5,JOHNNY,LOLLOBRIGIDA,340,"FRONTIER CABIN"
5,JOHNNY,LOLLOBRIGIDA,369,"GOODFELLAS SALUTE"
5,JOHNNY,LOLLOBRIGIDA,375,"GRAIL FRANKENSTEIN"
5,JOHNNY,LOLLOBRIGIDA,383,"GROOVE FICTION"
5,JOHNNY,LOLLOBRIGIDA,392,"HALL CASSIDY"
5,JOHNNY,LOLLOBRIGIDA,411,"HEAVENLY GUN"
5,JOHNNY,LOLLOBRIGIDA,503,"KRAMER CHOCOLATE"
5,JOHNNY,LOLLOBRIGIDA,535,"LOVE SUICIDES"
5,JOHNNY,LOLLOBRIGIDA,571,"METAL ARMAGEDDON"
5,JOHNNY,LOLLOBRIGIDA,650,"PACIFIC AMISTAD"
5,JOHNNY,LOLLOBRIGIDA,665,"PATTON INTERVIEW"
5,JOHNNY,LOLLOBRIGIDA,687,"POCUS PULP"
5,JOHNNY,LOLLOBRIGIDA,730,"RIDGEMONT SUBMARINE"
5,JOHNNY,LOLLOBRIGIDA,732,"RINGS HEARTBREAKERS"
5,JOHNNY,LOLLOBRIGIDA,811,"SMILE EARRING"
5,JOHNNY,LOLLOBRIGIDA,817,"SOLDIERS EVOLUTION"
5,JOHNNY,LOLLOBRIGIDA,841,"STAR OPERATION"
5,JOHNNY,LOLLOBRIGIDA,865,"SUNRISE LEAGUE"
